kecamatan,wilayah_kota,target_perkecamatan,target_harian_perkecamatan,date,Cakupan Suntik 1,Keterangan,Cakupan Suntik 2
Cakung,Jakarta Timur,451298,5333,12 June 2021,897,Tidak Tercapai,0
Cempaka Putih,Jakarta Pusat,82144,893,12 June 2021,189,Tidak Tercapai,0
Cengkareng,Jakarta Barat,456111,5041,12 June 2021,429,Tidak Tercapai,1
Cilandak,Jakarta Selatan,184665,2047,12 June 2021,48,Tidak Tercapai,4
Cilincing,Jakarta Utara,340707,4073,12 June 2021,17,Tidak Tercapai,1
Cipayung,Jakarta Timur,232520,2658,12 June 2021,203,Tidak Tercapai,77
Ciracas,Jakarta Timur,252861,2800,12 June 2021,59,Tidak Tercapai,29
Duren Sawit,Jakarta Timur,358527,4006,12 June 2021,7,Tidak Tercapai,4
Gambir,Jakarta Pusat,79504,879,12 June 2021,208,Tidak Tercapai,59
Grogol Petamburan,Jakarta Barat,196274,2095,12 June 2021,842,Tidak Tercapai,199
Jagakarsa,Jakarta Selatan,291101,3291,12 June 2021,39,Tidak Tercapai,2
Jatinegara,Jakarta Timur,262190,3010,12 June 2021,1053,Tidak Tercapai,66
Johar Baru,Jakarta Pusat,114661,1102,12 June 2021,248,Tidak Tercapai,0
Kali Deres,Jakarta Barat,356818,4295,12 June 2021,162,Tidak Tercapai,24
Kebayoran Baru,Jakarta Selatan,129072,1342,12 June 2021,2296,Tidak Tercapai,287
Kebayoran Lama,Jakarta Selatan,266485,3018,12 June 2021,150,Tidak Tercapai,0
Kebon Jeruk,Jakarta Barat,290818,3285,12 June 2021,366,Tidak Tercapai,0
Kelapa Gading,Jakarta Utara,119285,1114,12 June 2021,1237,Tidak Tercapai,30
Kemayoran,Jakarta Pusat,206657,2364,12 June 2021,969,Tidak Tercapai,1
Kembangan,Jakarta Barat,243825,2686,12 June 2021,276,Tidak Tercapai,0
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,12 June 2021,0,Tidak Tercapai,0
Kep. Seribu Utara,Kepulauan Seribu,13038,122,12 June 2021,0,Tidak Tercapai,0
Koja,Jakarta Utara,270619,3253,12 June 2021,188,Tidak Tercapai,5
Kramat Jati,Jakarta Timur,252661,2939,12 June 2021,271,Tidak Tercapai,0
Makasar,Jakarta Timur,178873,1927,12 June 2021,701,Tidak Tercapai,4
Mampang Prapatan,Jakarta Selatan,128433,1483,12 June 2021,43,Tidak Tercapai,6
Matraman,Jakarta Timur,154999,1745,12 June 2021,1,Tidak Tercapai,1
Menteng,Jakarta Pusat,73752,770,12 June 2021,57,Tidak Tercapai,42
Pademangan,Jakarta Utara,135923,1492,12 June 2021,315,Tidak Tercapai,153
Palmerah,Jakarta Barat,186632,2077,12 June 2021,520,Tidak Tercapai,10
Pancoran,Jakarta Selatan,142268,1612,12 June 2021,2322,Tidak Tercapai,0
Pasar Minggu,Jakarta Selatan,266638,2937,12 June 2021,107,Tidak Tercapai,25
Pasar Rebo,Jakarta Timur,187522,2071,12 June 2021,157,Tidak Tercapai,1
Penjaringan,Jakarta Utara,259380,2860,12 June 2021,994,Tidak Tercapai,1
Pesanggrahan,Jakarta Selatan,212090,2378,12 June 2021,16,Tidak Tercapai,2
Pulo Gadung,Jakarta Timur,250436,2779,12 June 2021,0,Tidak Tercapai,1
Sawah Besar,Jakarta Pusat,102381,1120,12 June 2021,9,Tidak Tercapai,3
Senen,Jakarta Pusat,104180,1099,12 June 2021,427,Tidak Tercapai,34
Setia Budi,Jakarta Selatan,96032,1019,12 June 2021,1073,Tidak Tercapai,61
Taman Sari,Jakarta Barat,107037,1149,12 June 2021,0,Tidak Tercapai,0
Tambora,Jakarta Barat,221310,2565,12 June 2021,165,Tidak Tercapai,5
Tanah Abang,Jakarta Pusat,142258,1647,12 June 2021,1,Tidak Tercapai,2
Tanjung Priok,Jakarta Utara,333750,3728,12 June 2021,1031,Tidak Tercapai,32
Tebet,Jakarta Selatan,196217,2177,12 June 2021,1188,Tidak Tercapai,1
Cakung,Jakarta Timur,451298,5333,13 June 2021,0,Tidak Tercapai,0
Cengkareng,Jakarta Barat,456111,5041,13 June 2021,0,Tidak Tercapai,0
Kali Deres,Jakarta Barat,356818,4295,13 June 2021,0,Tidak Tercapai,0
Cilincing,Jakarta Utara,340707,4073,13 June 2021,0,Tidak Tercapai,0
Duren Sawit,Jakarta Timur,358527,4006,13 June 2021,0,Tidak Tercapai,1
Tanjung Priok,Jakarta Utara,333750,3728,13 June 2021,59,Tidak Tercapai,0
Jagakarsa,Jakarta Selatan,291101,3291,13 June 2021,0,Tidak Tercapai,1
Kebon Jeruk,Jakarta Barat,290818,3285,13 June 2021,0,Tidak Tercapai,0
Koja,Jakarta Utara,270619,3253,13 June 2021,0,Tidak Tercapai,0
Kebayoran Lama,Jakarta Selatan,266485,3018,13 June 2021,1,Tidak Tercapai,2
Jatinegara,Jakarta Timur,262190,3010,13 June 2021,2,Tidak Tercapai,0
Kramat Jati,Jakarta Timur,252661,2939,13 June 2021,0,Tidak Tercapai,0
Pasar Minggu,Jakarta Selatan,266638,2937,13 June 2021,5,Tidak Tercapai,5
Penjaringan,Jakarta Utara,259380,2860,13 June 2021,0,Tidak Tercapai,0
Ciracas,Jakarta Timur,252861,2800,13 June 2021,0,Tidak Tercapai,0
Pulo Gadung,Jakarta Timur,250436,2779,13 June 2021,0,Tidak Tercapai,0
Kembangan,Jakarta Barat,243825,2686,13 June 2021,7,Tidak Tercapai,3
Cipayung,Jakarta Timur,232520,2658,13 June 2021,3,Tidak Tercapai,0
Tambora,Jakarta Barat,221310,2565,13 June 2021,0,Tidak Tercapai,0
Pesanggrahan,Jakarta Selatan,212090,2378,13 June 2021,0,Tidak Tercapai,1
Kemayoran,Jakarta Pusat,206657,2364,13 June 2021,0,Tidak Tercapai,2
Tebet,Jakarta Selatan,196217,2177,13 June 2021,0,Tidak Tercapai,1
Grogol Petamburan,Jakarta Barat,196274,2095,13 June 2021,0,Tidak Tercapai,0
Palmerah,Jakarta Barat,186632,2077,13 June 2021,0,Tidak Tercapai,0
Pasar Rebo,Jakarta Timur,187522,2071,13 June 2021,0,Tidak Tercapai,0
Cilandak,Jakarta Selatan,184665,2047,13 June 2021,1,Tidak Tercapai,0
Makasar,Jakarta Timur,178873,1927,13 June 2021,1,Tidak Tercapai,0
Matraman,Jakarta Timur,154999,1745,13 June 2021,3,Tidak Tercapai,0
Tanah Abang,Jakarta Pusat,142258,1647,13 June 2021,0,Tidak Tercapai,1
Pancoran,Jakarta Selatan,142268,1612,13 June 2021,2,Tidak Tercapai,0
Pademangan,Jakarta Utara,135923,1492,13 June 2021,58,Tidak Tercapai,0
Mampang Prapatan,Jakarta Selatan,128433,1483,13 June 2021,0,Tidak Tercapai,0
Kebayoran Baru,Jakarta Selatan,129072,1342,13 June 2021,6,Tidak Tercapai,3
Taman Sari,Jakarta Barat,107037,1149,13 June 2021,0,Tidak Tercapai,0
Sawah Besar,Jakarta Pusat,102381,1120,13 June 2021,1,Tidak Tercapai,4
Kelapa Gading,Jakarta Utara,119285,1114,13 June 2021,14,Tidak Tercapai,0
Johar Baru,Jakarta Pusat,114661,1102,13 June 2021,0,Tidak Tercapai,0
Senen,Jakarta Pusat,104180,1099,13 June 2021,0,Tidak Tercapai,0
Setia Budi,Jakarta Selatan,96032,1019,13 June 2021,4,Tidak Tercapai,0
Cempaka Putih,Jakarta Pusat,82144,893,13 June 2021,0,Tidak Tercapai,0
Gambir,Jakarta Pusat,79504,879,13 June 2021,31,Tidak Tercapai,5
Menteng,Jakarta Pusat,73752,770,13 June 2021,0,Tidak Tercapai,0
Kep. Seribu Utara,Kepulauan Seribu,13038,122,13 June 2021,0,Tidak Tercapai,0
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,13 June 2021,0,Tidak Tercapai,0
Cakung,Jakarta Timur,451298,5333,14 June 2021,2258,Tidak Tercapai,36
Cengkareng,Jakarta Barat,456111,5041,14 June 2021,3144,Tidak Tercapai,0
Kali Deres,Jakarta Barat,356818,4295,14 June 2021,1680,Tidak Tercapai,26
Cilincing,Jakarta Utara,340707,4073,14 June 2021,2239,Tidak Tercapai,26
Duren Sawit,Jakarta Timur,358527,4006,14 June 2021,1688,Tidak Tercapai,49
Tanjung Priok,Jakarta Utara,333750,3728,14 June 2021,4074,Tercapai,133
Jagakarsa,Jakarta Selatan,291101,3291,14 June 2021,1415,Tidak Tercapai,31
Kebon Jeruk,Jakarta Barat,290818,3285,14 June 2021,2900,Tidak Tercapai,22
Koja,Jakarta Utara,270619,3253,14 June 2021,1201,Tidak Tercapai,8
Kebayoran Lama,Jakarta Selatan,266485,3018,14 June 2021,1004,Tidak Tercapai,24
Jatinegara,Jakarta Timur,262190,3010,14 June 2021,3105,Tercapai,49
Kramat Jati,Jakarta Timur,252661,2939,14 June 2021,1175,Tidak Tercapai,115
Pasar Minggu,Jakarta Selatan,266638,2937,14 June 2021,1308,Tidak Tercapai,49
Penjaringan,Jakarta Utara,259380,2860,14 June 2021,3287,Tercapai,3
Ciracas,Jakarta Timur,252861,2800,14 June 2021,608,Tidak Tercapai,8
Pulo Gadung,Jakarta Timur,250436,2779,14 June 2021,736,Tidak Tercapai,27
Kembangan,Jakarta Barat,243825,2686,14 June 2021,2198,Tidak Tercapai,27
Cipayung,Jakarta Timur,232520,2658,14 June 2021,1117,Tidak Tercapai,284
Tambora,Jakarta Barat,221310,2565,14 June 2021,1611,Tidak Tercapai,15
Pesanggrahan,Jakarta Selatan,212090,2378,14 June 2021,1100,Tidak Tercapai,62
Kemayoran,Jakarta Pusat,206657,2364,14 June 2021,2873,Tercapai,10
Tebet,Jakarta Selatan,196217,2177,14 June 2021,1598,Tidak Tercapai,5
Grogol Petamburan,Jakarta Barat,196274,2095,14 June 2021,4135,Tercapai,243
Palmerah,Jakarta Barat,186632,2077,14 June 2021,2176,Tercapai,44
Pasar Rebo,Jakarta Timur,187522,2071,14 June 2021,652,Tidak Tercapai,38
Cilandak,Jakarta Selatan,184665,2047,14 June 2021,1380,Tidak Tercapai,15
Makasar,Jakarta Timur,178873,1927,14 June 2021,656,Tidak Tercapai,1018
Matraman,Jakarta Timur,154999,1745,14 June 2021,841,Tidak Tercapai,17
Tanah Abang,Jakarta Pusat,142258,1647,14 June 2021,774,Tidak Tercapai,42
Pancoran,Jakarta Selatan,142268,1612,14 June 2021,3550,Tercapai,6
Pademangan,Jakarta Utara,135923,1492,14 June 2021,1006,Tidak Tercapai,66
Mampang Prapatan,Jakarta Selatan,128433,1483,14 June 2021,860,Tidak Tercapai,10
Kebayoran Baru,Jakarta Selatan,129072,1342,14 June 2021,9102,Tercapai,738
Taman Sari,Jakarta Barat,107037,1149,14 June 2021,1174,Tercapai,52
Sawah Besar,Jakarta Pusat,102381,1120,14 June 2021,1786,Tercapai,13
Kelapa Gading,Jakarta Utara,119285,1114,14 June 2021,2855,Tercapai,52
Johar Baru,Jakarta Pusat,114661,1102,14 June 2021,897,Tidak Tercapai,43
Senen,Jakarta Pusat,104180,1099,14 June 2021,1084,Tidak Tercapai,131
Setia Budi,Jakarta Selatan,96032,1019,14 June 2021,1240,Tercapai,4
Cempaka Putih,Jakarta Pusat,82144,893,14 June 2021,567,Tidak Tercapai,2
Gambir,Jakarta Pusat,79504,879,14 June 2021,941,Tercapai,126
Menteng,Jakarta Pusat,73752,770,14 June 2021,1445,Tercapai,8
Kep. Seribu Utara,Kepulauan Seribu,13038,122,14 June 2021,12,Tidak Tercapai,14
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,14 June 2021,39,Tidak Tercapai,0
Cakung,Jakarta Timur,451298,5333,15 June 2021,1958,Tidak Tercapai,37
Cengkareng,Jakarta Barat,456111,5041,15 June 2021,3480,Tidak Tercapai,21
Kali Deres,Jakarta Barat,356818,4295,15 June 2021,2107,Tidak Tercapai,8
Cilincing,Jakarta Utara,340707,4073,15 June 2021,3023,Tidak Tercapai,4
Duren Sawit,Jakarta Timur,358527,4006,15 June 2021,1662,Tidak Tercapai,42
Tanjung Priok,Jakarta Utara,333750,3728,15 June 2021,3138,Tidak Tercapai,51
Jagakarsa,Jakarta Selatan,291101,3291,15 June 2021,1703,Tidak Tercapai,11
Kebon Jeruk,Jakarta Barat,290818,3285,15 June 2021,3436,Tercapai,60
Koja,Jakarta Utara,270619,3253,15 June 2021,1485,Tidak Tercapai,26
Kebayoran Lama,Jakarta Selatan,266485,3018,15 June 2021,1243,Tidak Tercapai,54
Jatinegara,Jakarta Timur,262190,3010,15 June 2021,2698,Tidak Tercapai,16
Kramat Jati,Jakarta Timur,252661,2939,15 June 2021,876,Tidak Tercapai,88
Pasar Minggu,Jakarta Selatan,266638,2937,15 June 2021,1397,Tidak Tercapai,48
Penjaringan,Jakarta Utara,259380,2860,15 June 2021,2102,Tidak Tercapai,246
Ciracas,Jakarta Timur,252861,2800,15 June 2021,609,Tidak Tercapai,3
Pulo Gadung,Jakarta Timur,250436,2779,15 June 2021,1206,Tidak Tercapai,29
Kembangan,Jakarta Barat,243825,2686,15 June 2021,2327,Tidak Tercapai,8
Cipayung,Jakarta Timur,232520,2658,15 June 2021,1205,Tidak Tercapai,219
Tambora,Jakarta Barat,221310,2565,15 June 2021,1984,Tidak Tercapai,13
Pesanggrahan,Jakarta Selatan,212090,2378,15 June 2021,1442,Tidak Tercapai,40
Kemayoran,Jakarta Pusat,206657,2364,15 June 2021,3229,Tercapai,11
Tebet,Jakarta Selatan,196217,2177,15 June 2021,1729,Tidak Tercapai,7
Grogol Petamburan,Jakarta Barat,196274,2095,15 June 2021,2944,Tercapai,45
Palmerah,Jakarta Barat,186632,2077,15 June 2021,2510,Tercapai,2
Pasar Rebo,Jakarta Timur,187522,2071,15 June 2021,977,Tidak Tercapai,37
Cilandak,Jakarta Selatan,184665,2047,15 June 2021,2144,Tercapai,29
Makasar,Jakarta Timur,178873,1927,15 June 2021,1044,Tidak Tercapai,1537
Matraman,Jakarta Timur,154999,1745,15 June 2021,818,Tidak Tercapai,14
Tanah Abang,Jakarta Pusat,142258,1647,15 June 2021,4878,Tercapai,23
Pancoran,Jakarta Selatan,142268,1612,15 June 2021,3085,Tercapai,28
Pademangan,Jakarta Utara,135923,1492,15 June 2021,1145,Tidak Tercapai,30
Mampang Prapatan,Jakarta Selatan,128433,1483,15 June 2021,901,Tidak Tercapai,21
Kebayoran Baru,Jakarta Selatan,129072,1342,15 June 2021,3668,Tercapai,282
Taman Sari,Jakarta Barat,107037,1149,15 June 2021,1161,Tercapai,0
Sawah Besar,Jakarta Pusat,102381,1120,15 June 2021,1567,Tercapai,43
Kelapa Gading,Jakarta Utara,119285,1114,15 June 2021,2502,Tercapai,12
Johar Baru,Jakarta Pusat,114661,1102,15 June 2021,871,Tidak Tercapai,43
Senen,Jakarta Pusat,104180,1099,15 June 2021,1932,Tercapai,67
Setia Budi,Jakarta Selatan,96032,1019,15 June 2021,1685,Tercapai,24
Cempaka Putih,Jakarta Pusat,82144,893,15 June 2021,683,Tidak Tercapai,0
Gambir,Jakarta Pusat,79504,879,15 June 2021,1272,Tercapai,64
Menteng,Jakarta Pusat,73752,770,15 June 2021,1591,Tercapai,22
Kep. Seribu Utara,Kepulauan Seribu,13038,122,15 June 2021,65,Tidak Tercapai,3
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,15 June 2021,63,Tidak Tercapai,17
Cakung,Jakarta Timur,451298,5333,16 June 2021,2296,Tercapai,32
Cengkareng,Jakarta Barat,456111,5041,16 June 2021,3275,Tidak Tercapai,2
Kali Deres,Jakarta Barat,356818,4295,16 June 2021,2347,Tercapai,21
Cilincing,Jakarta Utara,340707,4073,16 June 2021,2995,Tidak Tercapai,8
Duren Sawit,Jakarta Timur,358527,4006,16 June 2021,1518,Tidak Tercapai,46
Tanjung Priok,Jakarta Utara,333750,3728,16 June 2021,3270,Tercapai,30
Jagakarsa,Jakarta Selatan,291101,3291,16 June 2021,1888,Tercapai,11
Kebon Jeruk,Jakarta Barat,290818,3285,16 June 2021,3346,Tidak Tercapai,36
Koja,Jakarta Utara,270619,3253,16 June 2021,2589,Tercapai,2
Kebayoran Lama,Jakarta Selatan,266485,3018,16 June 2021,1602,Tercapai,44
Jatinegara,Jakarta Timur,262190,3010,16 June 2021,3304,Tercapai,44
Kramat Jati,Jakarta Timur,252661,2939,16 June 2021,1091,Tercapai,136
Pasar Minggu,Jakarta Selatan,266638,2937,16 June 2021,1594,Tercapai,42
Penjaringan,Jakarta Utara,259380,2860,16 June 2021,2463,Tercapai,13
Ciracas,Jakarta Timur,252861,2800,16 June 2021,1192,Tercapai,20
Pulo Gadung,Jakarta Timur,250436,2779,16 June 2021,1257,Tercapai,28
Kembangan,Jakarta Barat,243825,2686,16 June 2021,2853,Tercapai,24
Cipayung,Jakarta Timur,232520,2658,16 June 2021,1599,Tercapai,279
Tambora,Jakarta Barat,221310,2565,16 June 2021,2233,Tercapai,21
Pesanggrahan,Jakarta Selatan,212090,2378,16 June 2021,1430,Tidak Tercapai,24
Kemayoran,Jakarta Pusat,206657,2364,16 June 2021,3483,Tercapai,20
Tebet,Jakarta Selatan,196217,2177,16 June 2021,1922,Tercapai,26
Grogol Petamburan,Jakarta Barat,196274,2095,16 June 2021,3027,Tercapai,42
Palmerah,Jakarta Barat,186632,2077,16 June 2021,3222,Tercapai,74
Pasar Rebo,Jakarta Timur,187522,2071,16 June 2021,835,Tidak Tercapai,35
Cilandak,Jakarta Selatan,184665,2047,16 June 2021,2734,Tercapai,18
Makasar,Jakarta Timur,178873,1927,16 June 2021,661,Tidak Tercapai,1461
Matraman,Jakarta Timur,154999,1745,16 June 2021,833,Tercapai,31
Tanah Abang,Jakarta Pusat,142258,1647,16 June 2021,4074,Tidak Tercapai,81
Pancoran,Jakarta Selatan,142268,1612,16 June 2021,3400,Tercapai,18
Pademangan,Jakarta Utara,135923,1492,16 June 2021,1590,Tercapai,26
Mampang Prapatan,Jakarta Selatan,128433,1483,16 June 2021,1012,Tercapai,20
Kebayoran Baru,Jakarta Selatan,129072,1342,16 June 2021,4142,Tercapai,322
Taman Sari,Jakarta Barat,107037,1149,16 June 2021,3151,Tercapai,0
Sawah Besar,Jakarta Pusat,102381,1120,16 June 2021,1624,Tercapai,25
Kelapa Gading,Jakarta Utara,119285,1114,16 June 2021,2716,Tercapai,18
Johar Baru,Jakarta Pusat,114661,1102,16 June 2021,773,Tidak Tercapai,17
Senen,Jakarta Pusat,104180,1099,16 June 2021,1419,Tidak Tercapai,167
Setia Budi,Jakarta Selatan,96032,1019,16 June 2021,2063,Tercapai,6
Cempaka Putih,Jakarta Pusat,82144,893,16 June 2021,675,Tidak Tercapai,13
Gambir,Jakarta Pusat,79504,879,16 June 2021,2063,Tercapai,138
Menteng,Jakarta Pusat,73752,770,16 June 2021,2508,Tercapai,14
Kep. Seribu Utara,Kepulauan Seribu,13038,122,16 June 2021,67,Tercapai,1
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,16 June 2021,74,Tercapai,0
Cakung,Jakarta Timur,451298,5333,17 June 2021,2331,Tidak Tercapai,9
Cengkareng,Jakarta Barat,456111,5041,17 June 2021,3965,Tidak Tercapai,15
Kali Deres,Jakarta Barat,356818,4295,17 June 2021,2880,Tidak Tercapai,23
Cilincing,Jakarta Utara,340707,4073,17 June 2021,2335,Tidak Tercapai,3
Duren Sawit,Jakarta Timur,358527,4006,17 June 2021,1650,Tidak Tercapai,38
Tanjung Priok,Jakarta Utara,333750,3728,17 June 2021,5302,Tercapai,50
Jagakarsa,Jakarta Selatan,291101,3291,17 June 2021,1565,Tidak Tercapai,5
Kebon Jeruk,Jakarta Barat,290818,3285,17 June 2021,3312,Tercapai,32
Koja,Jakarta Utara,270619,3253,17 June 2021,1432,Tidak Tercapai,11
Kebayoran Lama,Jakarta Selatan,266485,3018,17 June 2021,1454,Tidak Tercapai,55
Jatinegara,Jakarta Timur,262190,3010,17 June 2021,2073,Tidak Tercapai,21
Kramat Jati,Jakarta Timur,252661,2939,17 June 2021,1106,Tidak Tercapai,188
Pasar Minggu,Jakarta Selatan,266638,2937,17 June 2021,1617,Tidak Tercapai,42
Penjaringan,Jakarta Utara,259380,2860,17 June 2021,3189,Tercapai,13
Ciracas,Jakarta Timur,252861,2800,17 June 2021,945,Tidak Tercapai,15
Pulo Gadung,Jakarta Timur,250436,2779,17 June 2021,1214,Tidak Tercapai,31
Kembangan,Jakarta Barat,243825,2686,17 June 2021,3093,Tercapai,10
Cipayung,Jakarta Timur,232520,2658,17 June 2021,1912,Tidak Tercapai,146
Tambora,Jakarta Barat,221310,2565,17 June 2021,1310,Tidak Tercapai,26
Pesanggrahan,Jakarta Selatan,212090,2378,17 June 2021,1397,Tidak Tercapai,21
Kemayoran,Jakarta Pusat,206657,2364,17 June 2021,3229,Tercapai,15
Tebet,Jakarta Selatan,196217,2177,17 June 2021,1756,Tidak Tercapai,31
Grogol Petamburan,Jakarta Barat,196274,2095,17 June 2021,2849,Tercapai,34
Palmerah,Jakarta Barat,186632,2077,17 June 2021,3049,Tercapai,476
Pasar Rebo,Jakarta Timur,187522,2071,17 June 2021,1079,Tidak Tercapai,64
Cilandak,Jakarta Selatan,184665,2047,17 June 2021,2794,Tercapai,45
Makasar,Jakarta Timur,178873,1927,17 June 2021,1378,Tidak Tercapai,1337
Matraman,Jakarta Timur,154999,1745,17 June 2021,1231,Tidak Tercapai,51
Tanah Abang,Jakarta Pusat,142258,1647,17 June 2021,4878,Tercapai,12
Pancoran,Jakarta Selatan,142268,1612,17 June 2021,3252,Tercapai,16
Pademangan,Jakarta Utara,135923,1492,17 June 2021,1476,Tidak Tercapai,10
Mampang Prapatan,Jakarta Selatan,128433,1483,17 June 2021,996,Tidak Tercapai,17
Kebayoran Baru,Jakarta Selatan,129072,1342,17 June 2021,5543,Tercapai,268
Taman Sari,Jakarta Barat,107037,1149,17 June 2021,3216,Tercapai,1
Sawah Besar,Jakarta Pusat,102381,1120,17 June 2021,1567,Tercapai,37
Kelapa Gading,Jakarta Utara,119285,1114,17 June 2021,2585,Tercapai,20
Johar Baru,Jakarta Pusat,114661,1102,17 June 2021,871,Tidak Tercapai,12
Senen,Jakarta Pusat,104180,1099,17 June 2021,1932,Tercapai,281
Setia Budi,Jakarta Selatan,96032,1019,17 June 2021,2075,Tercapai,21
Cempaka Putih,Jakarta Pusat,82144,893,17 June 2021,683,Tidak Tercapai,0
Gambir,Jakarta Pusat,79504,879,17 June 2021,1272,Tercapai,103
Menteng,Jakarta Pusat,73752,770,17 June 2021,1591,Tercapai,19
Kep. Seribu Utara,Kepulauan Seribu,13038,122,17 June 2021,113,Tidak Tercapai,12
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,17 June 2021,153,Tercapai,0
Cakung,Jakarta Timur,451298,5333,18 June 2021,2961,Tidak Tercapai,52
Cengkareng,Jakarta Barat,456111,5041,18 June 2021,3884,Tidak Tercapai,0
Kali Deres,Jakarta Barat,356818,4295,18 June 2021,3405,Tidak Tercapai,39
Cilincing,Jakarta Utara,340707,4073,18 June 2021,3876,Tidak Tercapai,23
Duren Sawit,Jakarta Timur,358527,4006,18 June 2021,1927,Tidak Tercapai,92
Tanjung Priok,Jakarta Utara,333750,3728,18 June 2021,5123,Tercapai,72
Jagakarsa,Jakarta Selatan,291101,3291,18 June 2021,2339,Tidak Tercapai,44
Kebon Jeruk,Jakarta Barat,290818,3285,18 June 2021,3949,Tercapai,22
Koja,Jakarta Utara,270619,3253,18 June 2021,1661,Tidak Tercapai,7
Kebayoran Lama,Jakarta Selatan,266485,3018,18 June 2021,2013,Tidak Tercapai,110
Jatinegara,Jakarta Timur,262190,3010,18 June 2021,1946,Tidak Tercapai,33
Kramat Jati,Jakarta Timur,252661,2939,18 June 2021,1157,Tidak Tercapai,253
Pasar Minggu,Jakarta Selatan,266638,2937,18 June 2021,2174,Tidak Tercapai,68
Penjaringan,Jakarta Utara,259380,2860,18 June 2021,4701,Tercapai,8
Ciracas,Jakarta Timur,252861,2800,18 June 2021,1618,Tidak Tercapai,24
Pulo Gadung,Jakarta Timur,250436,2779,18 June 2021,1355,Tidak Tercapai,47
Kembangan,Jakarta Barat,243825,2686,18 June 2021,3621,Tercapai,34
Cipayung,Jakarta Timur,232520,2658,18 June 2021,1967,Tidak Tercapai,737
Tambora,Jakarta Barat,221310,2565,18 June 2021,1954,Tidak Tercapai,28
Pesanggrahan,Jakarta Selatan,212090,2378,18 June 2021,1674,Tidak Tercapai,24
Kemayoran,Jakarta Pusat,206657,2364,18 June 2021,4363,Tercapai,23
Tebet,Jakarta Selatan,196217,2177,18 June 2021,2341,Tercapai,39
Grogol Petamburan,Jakarta Barat,196274,2095,18 June 2021,4070,Tercapai,35
Palmerah,Jakarta Barat,186632,2077,18 June 2021,3447,Tercapai,47
Pasar Rebo,Jakarta Timur,187522,2071,18 June 2021,1631,Tidak Tercapai,47
Cilandak,Jakarta Selatan,184665,2047,18 June 2021,3914,Tercapai,34
Makasar,Jakarta Timur,178873,1927,18 June 2021,1465,Tidak Tercapai,134
Matraman,Jakarta Timur,154999,1745,18 June 2021,1259,Tidak Tercapai,83
Tanah Abang,Jakarta Pusat,142258,1647,18 June 2021,3025,Tercapai,12
Pancoran,Jakarta Selatan,142268,1612,18 June 2021,4224,Tercapai,14
Pademangan,Jakarta Utara,135923,1492,18 June 2021,1659,Tercapai,23
Mampang Prapatan,Jakarta Selatan,128433,1483,18 June 2021,1202,Tidak Tercapai,17
Kebayoran Baru,Jakarta Selatan,129072,1342,18 June 2021,5538,Tercapai,493
Taman Sari,Jakarta Barat,107037,1149,18 June 2021,3096,Tercapai,1
Sawah Besar,Jakarta Pusat,102381,1120,18 June 2021,1719,Tercapai,32
Kelapa Gading,Jakarta Utara,119285,1114,18 June 2021,3660,Tercapai,61
Johar Baru,Jakarta Pusat,114661,1102,18 June 2021,1376,Tercapai,16
Senen,Jakarta Pusat,104180,1099,18 June 2021,1949,Tercapai,113
Setia Budi,Jakarta Selatan,96032,1019,18 June 2021,2447,Tercapai,27
Cempaka Putih,Jakarta Pusat,82144,893,18 June 2021,706,Tidak Tercapai,16
Gambir,Jakarta Pusat,79504,879,18 June 2021,1199,Tercapai,113
Menteng,Jakarta Pusat,73752,770,18 June 2021,1991,Tercapai,24
Kep. Seribu Utara,Kepulauan Seribu,13038,122,18 June 2021,172,Tercapai,21
Kep. Seribu Selatan,Kepulauan Seribu,9259,82,18 June 2021,419,Tercapai,36
Cakung,Jakarta Timur,451298,5333,19 June 2021,351,Tidak Tercapai,0
Cengkareng,Jakarta Barat,456111,5041,19 June 2021,2405,Tidak Tercapai,0
Kali Deres,Jakarta Barat,356818,4295,19 June 2021,1192,Tidak Tercapai,0
Cilincing,Jakarta Utara,340707,4073,19 June 2021,402,Tidak Tercapai,1
Duren Sawit,Jakarta Timur,358527,4006,19 June 2021,1049,Tidak Tercapai,2
Tanjung Priok,Jakarta Utara,333750,3728,19 June 2021,1919,Tidak Tercapai,2
Jagakarsa,Jakarta Selatan,291101,3291,19 June 2021,100,Tidak Tercapai,8
Kebon Jeruk,Jakarta Barat,290818,3285,19 June 2021,564,Tidak Tercapai,1
Koja,Jakarta Utara,270619,3253,19 June 2021,909,Tidak Tercapai,13
Kebayoran Lama,Jakarta Selatan,266485,3018,19 June 2021,306,Tidak Tercapai,2
Jatinegara,Jakarta Timur,262190,3010,19 June 2021,1259,Tidak Tercapai,24
Kramat Jati,Jakarta Timur,252661,2939,19 June 2021,138,Tidak Tercapai,0
Pasar Minggu,Jakarta Selatan,266638,2937,19 June 2021,173,Tidak Tercapai,33
Penjaringan,Jakarta Utara,259380,2860,19 June 2021,2632,Tidak Tercapai,1
Ciracas,Jakarta Timur,252861,2800,19 June 2021,698,Tidak Tercapai,4
